Unnamed: 0,Month,Year,nDays,DecYear,Q,Conc,GenConc,FNConc,Flux,GenFlux,FNFlux,Date,wy
1,10,1993,31,1993.7894977169,4.54257022553008,0.0978314417271404,0.0977053148466864,0.0898115235510849,38.4166215267665,38.3591404654434,24.8678865439778,1993-10-31,1994
2,11,1993,30,1993.87305936073,2.15491200865635,0.109147720005611,0.118013064267464,0.114099852132695,20.3113093966032,21.6265243896214,24.5371859319146,1993-11-30,1994
3,12,1993,31,1993.95662100457,1.67069393575196,0.131798426607278,0.138423626030939,0.136116822420441,19.0073776330963,19.966449040112,21.9711636279122,1993-12-31,1994
4,1,1994,31,1994.04155251142,1.59670475653058,0.155988503394489,0.159091300851738,0.157848437884076,21.5370863487487,21.9638001356141,22.8790365371445,1994-01-31,1994
5,2,1994,28,1994.12237442922,1.42595547785125,0.149936166192237,0.15052516363045,0.155020115841818,18.4830779395483,18.5508144416767,21.0970162145609,1994-02-28,1994
6,3,1994,31,1994.20319634703,1.82872020742232,0.136553541119353,0.153480661405397,0.140963812044691,21.5821618781771,24.5557177750447,27.8075352347353,1994-03-31,1994
7,4,1994,30,1994.28675799087,7.67008978639574,0.145425908576744,0.15284062093035,0.157115945429607,115.141687435491,118.166982851885,123.409925094059,1994-04-30,1994
8,5,1994,31,1994.3703196347,30.3392172673951,0.126865629379443,0.118501073557516,0.128958781135517,320.234276064565,295.858855757973,289.858086521166,1994-05-31,1994
9,6,1994,30,1994.45388127854,30.12251727212,0.0808239474744347,0.074104390616644,0.081527435330526,214.604581323725,192.125339193447,239.136912094391,1994-06-30,1994
10,7,1994,31,1994.53744292237,6.71017914271948,0.0759593515552947,0.0773870494750643,0.0717120343863288,44.4281232196274,45.1967620611646,76.1867918519249,1994-07-31,1994
11,8,1994,31,1994.62237442922,2.96870163542585,0.0670088203678904,0.0586334158355103,0.0679494013005598,17.3169963798713,15.1322901358909,27.5657032818358,1994-08-31,1994
12,9,1994,30,1994.70593607306,1.82171711638491,0.0614553946350365,0.0603712191723225,0.0694335675929755,9.75698960515946,9.59762099989861,19.5150549010249,1994-09-30,1994
13,10,1994,31,1994.7894977169,2.46630597404609,0.0835695432249502,0.0624980733398243,0.0858562730875026,17.9590206414946,13.2210012115076,23.7730225075161,1994-10-31,1995
14,11,1994,30,1994.87305936073,2.25307707606776,0.107376665653196,0.0886243138771887,0.110443696756529,20.948668290127,16.9476103988537,23.7542484659817,1994-11-30,1995
15,12,1994,31,1994.95662100457,1.49622562425463,0.122761358777502,0.119666469222526,0.133006930809985,15.8845338293686,15.5099260714753,21.4790091951656,1994-12-31,1995
16,1,1995,31,1995.04155251142,1.24137400693653,0.138295598454942,0.136891887613362,0.155472454775668,14.8855609376327,14.7320617641545,22.5452585173776,1995-01-31,1995
17,2,1995,28,1995.12237442922,1.52607575608336,0.151440280475459,0.159134474183802,0.153397068254259,20.177513167519,21.1808763936132,20.8849441358883,1995-02-28,1995
18,3,1995,31,1995.20319634703,2.26626115615124,0.148867149734659,0.12183535903173,0.139900966200545,29.2153959131884,23.3629422949167,27.5829213451779,1995-03-31,1995
19,4,1995,30,1995.28675799087,3.98134859943604,0.131624129799305,0.124219357962938,0.153399348668886,45.6316782443906,43.9689398107199,119.695554099477,1995-04-30,1995
20,5,1995,31,1995.3703196347,21.9181525360133,0.118061539511967,0.124013523991097,0.124177676814209,213.283796792353,223.506133312774,280.489312443587,1995-05-31,1995
21,6,1995,30,1995.45388127854,69.3857125520491,0.0760926042490495,0.0831553164984756,0.0784854719235833,446.708899741207,489.797681660148,231.955917653838,1995-06-30,1995
22,7,1995,31,1995.53744292237,50.8607098647727,0.0579396620916361,0.0475933668462595,0.0677995140281561,257.069630349428,209.769849004044,72.4586679929106,1995-07-31,1995
23,8,1995,31,1995.62237442922,17.2330846319828,0.0592617825803401,0.0508362755016476,0.0640094326818461,86.7099941180726,72.2001915410804,25.9515887096234,1995-08-31,1995
24,9,1995,30,1995.70593607306,5.09136897708819,0.0703777623437827,0.0653324070942324,0.0655609725203936,30.7027847034409,28.7852786541039,18.423194575686,1995-09-30,1995
25,10,1995,31,1995.7894977169,4.03834767083621,0.0894445199962342,0.0864728276737192,0.0819846602554097,31.1861913488609,30.1676343789781,22.69822459187,1995-10-31,1996
26,11,1995,30,1995.87305936073,3.42633841060996,0.119529858103224,0.105855000484245,0.10678121201495,35.2142757883867,31.6195261898789,22.9682289932591,1995-11-30,1996
27,12,1995,31,1995.95662100457,1.88352700684557,0.131069153264113,0.131523838332859,0.129796501982364,21.3335939363707,21.0033784140174,20.9689121752636,1995-12-31,1996
28,1,1996,31,1996.04143897996,1.89266147341611,0.162349876166952,0.153591376317406,0.152861951965494,26.5437466286813,25.0288729750227,22.1756397699501,1996-01-31,1996
29,2,1996,29,1996.12340619308,1.93823931178705,0.167340273591473,0.114013201713614,0.151217301411117,28.0851756725456,18.9936559338779,20.5933195742464,1996-02-29,1996
30,3,1996,31,1996.20537340619,1.69627044214948,0.13073995180519,0.102078082983764,0.137627374596485,19.1941240408037,14.8111590218552,27.1089220755957,1996-03-31,1996
31,4,1996,30,1996.28870673953,7.80223506944957,0.149897768665878,0.160550282465195,0.148588748185791,106.292106862065,115.900634813268,115.154450032505,1996-04-30,1996
32,5,1996,31,1996.37204007286,45.4814225013811,0.123458121487789,0.150102558306041,0.118547104305625,478.679976509336,557.46734032448,268.790611504551,1996-05-31,1996
33,6,1996,30,1996.45537340619,43.1595933402591,0.0727210038406448,0.0826039630765312,0.0751540868364279,273.062716055452,309.121118346798,223.49472721936,1996-06-30,1996
34,7,1996,31,1996.53870673953,14.0323675456652,0.062939016557133,0.0779561128653971,0.0640571011177507,75.7235712914769,92.6081155015227,68.8793036764176,1996-07-31,1996
35,8,1996,31,1996.62340619308,4.64122246449192,0.0627266549063732,0.0772277522314506,0.060303037540343,25.2738082606945,30.4731368818495,24.4425691016959,1996-08-31,1996
36,9,1996,30,1996.70673952641,3.09691909785435,0.0645595532867939,0.0800591176930174,0.0620012898824473,17.3499715991075,21.363261682251,17.4186306750116,1996-09-30,1996
37,10,1996,31,1996.79007285974,3.29662898530828,0.0812601323576757,0.073699586820614,0.0784446634635881,23.0046352269664,20.7544752142647,21.7130491979479,1996-10-31,1997
38,11,1996,30,1996.87340619308,2.54757227830201,0.106396015443943,0.0788169586860062,0.103329582777529,23.5403293280757,17.3158321760715,22.2255875671693,1996-11-30,1997
39,12,1996,31,1996.95673952641,1.91367074652836,0.129303088678811,0.113072650480831,0.126567683862446,21.5488236728515,18.9046750703047,20.4524995952079,1996-12-31,1997
40,1,1997,31,1997.04155251142,1.88352700684557,0.158994456458427,0.153324608171959,0.150039318925689,25.9418100691026,25.0439615860709,21.7713168101542,1997-01-31,1997
41,2,1997,28,1997.12237442922,1.50787206913207,0.147242135547553,0.138343664466829,0.149229036556814,19.215798986903,18.0470391276363,20.3292870507104,1997-02-28,1997
42,3,1997,31,1997.20319634703,2.66178355865567,0.147515451656844,0.134017597198338,0.136887252765605,36.1592308737459,31.7101655791225,27.0054563135138,1997-03-31,1997
43,4,1997,30,1997.28675799087,9.97791276544294,0.155479254714488,0.171176921655318,0.1470149277549,144.229179328005,170.339132731071,113.666605419296,1997-04-30,1997
44,5,1997,31,1997.3703196347,44.9662385868026,0.121396306378852,0.114428442672635,0.116255368390741,459.258854681828,420.672732633514,264.515907235194,1997-05-31,1997
45,6,1997,30,1997.45388127854,60.1638595846498,0.0724107649724685,0.0732325413225578,0.0732146098815089,383.878939229756,387.182853150683,219.170172034223,1997-06-30,1997
46,7,1997,31,1997.53744292237,19.9743380498022,0.0567500918663796,0.0672720375496931,0.0610189174018282,98.0280544366238,113.976050313971,66.0521143812988,1997-07-31,1997
47,8,1997,31,1997.62237442922,7.40257170876649,0.0589936174731317,0.0770446052172579,0.0569930628710589,37.5818608097288,49.9813435926205,23.1091080632444,1997-08-31,1997
48,9,1997,30,1997.70593607306,5.06777160511429,0.0637328840377906,0.0656683627935466,0.0586371617916699,28.004788092188,28.815111079042,16.4693488153413,1997-09-30,1997
49,10,1997,31,1997.7894977169,5.15366603909928,0.0816718918475679,0.0789049825148652,0.0748807479793605,35.9500154660587,34.8154649279586,20.7206238447009,1997-10-31,1998
50,11,1997,30,1997.87305936073,3.53488632168989,0.114124532048757,0.136355400267419,0.0997684895374353,34.687359768735,41.223928170549,21.4606911497022,1997-11-30,1998
51,12,1997,31,1997.95662100457,2.50284384032826,0.14121437169589,0.197320042441396,0.123208235519844,30.5041456701147,42.4518816626334,19.9185880794542,1997-12-31,1998
52,1,1998,31,1998.04155251142,2.17765683041699,0.167366136137743,0.214827239678622,0.146956410873911,31.6481783111297,40.5386028978961,21.3334697156327,1998-01-31,1998
53,2,1998,28,1998.12237442922,1.9659981907396,0.164425702394662,0.200020446434741,0.146629395698892,27.9781286341491,34.0155448931612,19.9822953066384,1998-02-28,1998
54,3,1998,31,1998.20319634703,2.45351772084733,0.146270364472613,0.208630322444007,0.134970212520675,31.3443476344853,44.8051383691261,26.6774462875375,1998-03-31,1998
55,4,1998,30,1998.28675799087,4.81575167243306,0.128978782668836,0.163478766299805,0.14465493332742,54.5565878516855,68.8973200674111,111.582058424476,1998-04-30,1998
56,5,1998,31,1998.3703196347,23.5998078316499,0.114466054239667,0.112842551275654,0.113256486911122,225.404516302228,218.618579786986,258.304139616957,1998-05-31,1998
57,6,1998,30,1998.45388127854,27.7514533361828,0.069830164869228,0.0666582624565914,0.0711836827922444,168.548697318469,163.334371909787,214.575704657919,1998-06-30,1998
58,7,1998,31,1998.53744292237,15.6345529821381,0.0561576176576562,0.0507210431776433,0.058247242758937,75.7066673679336,69.9205315694896,63.4771355147425,1998-07-31,1998
59,8,1998,31,1998.62237442922,4.28589171489788,0.0560058378094622,0.0549378258975695,0.0540377284142594,20.8498240082014,19.4730295161344,21.932922198317,1998-08-31,1998
60,9,1998,30,1998.70593607306,2.80808726489384,0.0563280419202133,0.0569228842784789,0.0557312424513394,13.6531157279619,13.8796170140643,15.6572260012871,1998-09-30,1998
