date,site_no,no3
4/12/2011,USGS-09112200,0.085
7/21/2011,USGS-09112200,0.046
2/15/2011,USGS-09112200,0.074
5/8/2012,USGS-09112200,0.092
1/11/2012,USGS-09112200,0.093
9/17/2012,USGS-09112200,0.059
11/26/2012,USGS-09112200,0.049
3/7/2012,USGS-09112200,0.058
8/2/2012,USGS-09112200,0.056
6/11/2013,USGS-09112200,0.05
12/2/2013,USGS-09112200,0.052
4/3/2013,USGS-09112200,0.021
8/21/2013,USGS-09112200,0.042
10/22/2013,USGS-09112200,0.026
2/13/2013,USGS-09112200,0.12
11/5/2014,USGS-09112200,0.05
7/21/2014,USGS-09112200,0.03
5/20/2014,USGS-09112200,0.107
9/3/2014,USGS-09112200,0.053
3/11/2014,USGS-09112200,0.099
8/6/2014,USGS-09112200,0.048
7/14/2015,USGS-09112200,0.028
11/16/2015,USGS-09112200,0.133
4/7/2015,USGS-09112200,0.067
1/28/2015,USGS-09112200,0.088
10/6/2015,USGS-09112200,0.046
6/15/2015,USGS-09112200,0.066
5/16/2016,USGS-09112200,0.078
8/16/2016,USGS-09112200,0.069
2/23/2016,USGS-09112200,0.164
4/25/2016,USGS-09112200,0.072
12/12/2016,USGS-09112200,0.113
9/6/2016,USGS-09112200,0.085
11/13/2017,USGS-09112200,0.072
3/27/2017,USGS-09112200,0.129
4/24/2017,USGS-09112200,0.094
7/24/2017,USGS-09112200,0.039
9/12/2017,USGS-09112200,0.059
6/20/2017,USGS-09112200,0.044
1/18/2018,USGS-09112200,0.207
3/14/2018,USGS-09112200,0.104
7/16/2018,USGS-09112200,0.044
5/15/2018,USGS-09112200,0.058
10/23/2018,USGS-09112200,0.045
8/14/2018,USGS-09112200,0.071
11/5/2019,USGS-09112200,0.056
4/23/2019,USGS-09112200,0.259
2/25/2019,USGS-09112200,0.081
8/5/2019,USGS-09112200,0.053
6/5/2019,USGS-09112200,0.098
9/4/2019,USGS-09112200,0.103
12/1/2020,USGS-09112200,0.064
1/14/2020,USGS-09112200,0.204
7/20/2020,USGS-09112200,0.057
10/14/2020,USGS-09112200,0.087
1/25/2021,USGS-09112200,0.03
6/8/2021,USGS-09112200,0.08
4/20/2021,USGS-09112200,0.093
8/17/2021,USGS-09112200,0.07
7/20/2021,USGS-09112200,0.056
11/2/2021,USGS-09112200,0.026
9/6/2022,USGS-09112200,0.042
2/7/2022,USGS-09112200,0.057
12/6/2022,USGS-09112200,0.108
3/15/2022,USGS-09112200,0.107
8/15/2022,USGS-09112200,0.057
5/24/2022,USGS-09112200,0.074
1/30/2023,USGS-09112200,0.011
4/17/2023,USGS-09112200,0.159
5/15/2023,USGS-09112200,0.094
7/24/2023,USGS-09112200,0.044
8/29/2023,USGS-09112200,0.053
